## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.industry_rank,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10,entity.employee_range
casestudy_sap-runs-sap-concur,sap-runs-sap-concur,casestudy, ,https://www.concur.com.au/sites/default/files/au/2000px-sap_2011_logo.svg_.png, ,https://www.concur.com.au/casestudy/sap-runs-sap-concur, , , ,1,Professional Services,91001,Germany,AU,Concur Travel,, , ,"> 50,000"
casestudy_ibm,ibm,casestudy, ,https://www.concur.com.au/sites/default/files/au/ibm_png19658.png, ,https://www.concur.com.au/casestudy/ibm, , , ,0,Professional Services,400000,New York,AU,Concur Travel,, , ,"> 50,000"
casestudy_tait,tait,casestudy, ,https://www.concur.com.au/sites/default/files/au/tait_logo_original_grey-blue_rgb.jpg, ,https://www.concur.com.au/casestudy/tait, , , ,0,Professional Services,700,"New Zealand, Australia, Singapore, United States, Canada, Brazil, Austria, France, Germany and the UK",AU,Concur Expense,, , ,500 - 749
casestudy_lewis-land,lewis-land,casestudy, ,https://www.concur.com.au/sites/default/files/au/ll.png, ,https://www.concur.com.au/casestudy/lewis-land, , , ,0,Real Estate,600,"Sydney, Australia",AU,Concur Expense,, , ,500 - 749
casestudy_opteon,opteon,casestudy, ,https://www.concur.com.au/sites/default/files/au/opteon-logo.png, ,https://www.concur.com.au/casestudy/opteon, , , ,0,Real Estate,550,Australia / New Zealand,AU,Concur Travel,, , ,500 - 749
casestudy_asics,asics,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/asics_logo.png, ,https://www.concur.com.au/casestudy/asics, , , ,1,Retail,2000,Netherlands,AU,Central Reconciliation,, , ,"2,000 - 2,999"
casestudy_longchamp,longchamp,casestudy, ,https://www.concur.com.au/sites/default/files/au/03eae04c-963e-47c8-ae1d-bc02ff2fb7b3.jpg, ,https://www.concur.com.au/casestudy/longchamp, , , ,1,Retail,2500,France,AU,Concur Expense,, , ,"2,000 - 2,999"
casestudy_true-alliance,true-alliance,casestudy, ,https://www.concur.com.au/sites/default/files/au/ta_logo_stacked.png, ,https://www.concur.com.au/casestudy/true-alliance, , , ,1,Retail,750,"Sydney, Australia",AU,Concur Expense,, , ,750 - 999
casestudy_automotive-holdings-group,automotive-holdings-group,casestudy, ,https://www.concur.com.au/sites/default/files/au/ahg.png, ,https://www.concur.com.au/casestudy/automotive-holdings-group, , , ,0,Retail,7400,Australia and New Zealand,AU,Concur Expense,, , ,"6,000 - 9,999"
casestudy_texas-peak,texas-peak,casestudy, ,https://www.concur.com.au/sites/default/files/au/texaspeak_logo.png, ,https://www.concur.com.au/casestudy/texas-peak, , , ,0,Retail,200,"Melbourne, Australia",AU,Concur Expense,, , ,100 - 499
casestudy_vocus,vocus,casestudy, ,https://www.concur.com.au/sites/default/files/au/vocus_0.png, ,https://www.concur.com.au/casestudy/vocus, , , ,0,Telecommunications Services,125,"Sydney, Australia",AU,Concur Expense,, , ,100 - 499
