## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.custom7,entity.employee_range,entity.custom9,entity.custom10
casestudy_beecher-carlson,beecher-carlson, , ,https://www.concur.ca/sites/default/files/ca/logo_beecher-carlson_0.png, ,https://www.concur.ca/casestudy/beecher-carlson, , , , ,Financial,455,"Atlanta, GA",CA, ,100 - 499, , 
casestudy_cannon-cochran-management-services-inc-ccmsi,cannon-cochran-management-services-inc-ccmsi, , ,https://www.concur.ca/sites/default/files/ca/logo_ccmsi_0.png, ,https://www.concur.ca/casestudy/cannon-cochran-management-services-inc-ccmsi, , , , ,Professional Services,900,"Danville, IL",CA, ,750 - 999, , 
casestudy_sap-runs-sap-concur,sap-runs-sap-concur, , ,https://www.concur.ca/sites/default/files/ca/2000px-sap_2011_logo.svg_.png, ,https://www.concur.ca/casestudy/sap-runs-sap-concur, , , , ,Technology,91001,Germany,CA, ,"> 50,000", , 
casestudy_rust-oleum,rust-oleum, , ,https://www.concur.ca/sites/default/files/ca/logo_rustoleum_0_0.png, ,https://www.concur.ca/casestudy/rust-oleum, , , , ,Manufacturing,800,"Vernon Hills, IL",CA, ,750 - 999, , 
casestudy_alfa-laval,alfa-laval, , ,https://www.concur.ca/sites/default/files/ca/alfa_laval_logo_highres-1.png, ,https://www.concur.ca/casestudy/alfa-laval, , , , ,Manufacturing,300,UK,CA, ,100 - 499, , 
casestudy_jpmorgan-chase,jpmorgan-chase, , ,https://www.concur.ca/sites/default/files/ca/unknown.jpeg, ,https://www.concur.ca/casestudy/jpmorgan-chase, , , , ,Financial,250000,New York,CA, ,"> 50,000", , 
casestudy_graham-construction,graham-construction, , ,https://www.concur.ca/sites/default/files/ca/graham.png, ,https://www.concur.ca/casestudy/graham-construction, , , , ,Construction,1700,"Calgary, Alberta",CA, ,"1,000 - 1,999", , 
casestudy_louisana-pacific,louisana-pacific, , ,https://www.concur.ca/sites/default/files/ca/2000px-louisiana-pacific_corporation_logo.svg__0.png, ,https://www.concur.ca/casestudy/louisana-pacific, , , , ,Manufacturing,4800,"Nashville, Tennesse",CA, ,"3,000 - 5,999", , 
casestudy_ontario-nurses-association,ontario-nurses-association, , ,https://www.concur.ca/sites/default/files/ca/picture1.png, ,https://www.concur.ca/casestudy/ontario-nurses-association, , , , ,Health Care,235,"Toronto, ON",CA, ,100 - 499, , 
casestudy_third-wave-consulting,third-wave-consulting, , ,https://www.concur.ca/sites/default/files/ca/thirdwave.png, ,https://www.concur.ca/casestudy/third-wave-consulting, , , , ,Professional Services,36,"Halifax, Houston, Calgary",CA, ,< 50, , 
casestudy_brettyoung,brettyoung, , ,https://www.concur.ca/sites/default/files/ca/logo.jpg, ,https://www.concur.ca/casestudy/brettyoung, , , , ,Manufacturing,170,"Winnipeg, Manitoba",CA, ,100 - 499, , 
casestudy_stemcell-technologies,stemcell-technologies, , ,https://www.concur.ca/sites/default/files/ca/stemcell.jpg, ,https://www.concur.ca/casestudy/stemcell-technologies, , , , ,Pharmaceutical,1000,"Vancouver, British Columbia",CA, ,"1,000 - 1,999", , 
casestudy_zarlink,zarlink, , ,https://www.concur.ca/sites/default/files/ca/zarlink.gif, ,https://www.concur.ca/casestudy/zarlink, , , , ,Technology,400,"Ottawa, Ontario",CA, ,100 - 499, , 
casestudy_ericsson,ericsson, , ,https://www.concur.ca/sites/default/files/ca/ericsson_logo_blue.jpg, ,https://www.concur.ca/casestudy/ericsson, , , , ,Telecommunications,75000,Sweden,CA, ,"> 50,000", , 
casestudy_cable-wireless,cable-wireless,,,https://www.concur.ca/sites/default/files/ca/cable-wireless-communications-logo.jpg, ,https://www.concur.ca/casestudy/cable-wireless, , , , ,Telecommunications,12000,United Kingdom,CA, ,"10,000 - 49,999", , 
